Pore Volume of Water Injected,Pore Volume of Oil Produced,WaterCut,n,m,,
3.2,0.09396,0.00292,1.5,5,,
3.3,0.09367,0.00284,1.5,5,,
3.4,0.09339,0.00277,1.5,5,,
3.5,0.09311,0.00271,1.5,5,,
3.6,0.09285,0.00265,1.5,5,,
3.7,0.09259,0.00259,1.5,5,,
3.8,0.09233,0.00253,1.5,5,,
3.9,0.09207,0.00248,1.5,5,,
4,0.09184,0.00243,1.5,5,,
4.1,0.09159,0.00238,1.5,5,,
4.2,0.09135,0.00233,1.5,5,,
4.3,0.09112,0.00229,1.5,5,,
4.4,0.0909,0.00225,1.5,5,,
4.5,0.09068,0.00221,1.5,5,,
4.6,0.09046,0.00217,1.5,5,,
4.7,0.09025,0.00213,1.5,5,,
4.8,0.09004,0.0021,1.5,5,,
4.9,0.08984,0.00207,1.5,5,,
0.1,0,0,1.5,4.5,6,
0.2,0,0,1.5,4.5,,
0.3,0.06824,-0.85174,1.5,4.5,,
0.4,0.09776,0.01982,1.5,4.5,,
0.5,0.096,0.0161,1.5,4.5,,
0.6,0.09452,0.0134,1.5,4.5,,
0.7,0.09327,0.01166,1.5,4.5,,
0.8,0.09219,0.01036,1.5,4.5,,
0.9,0.0912,0.00931,1.5,4.5,,
1,0.09031,0.00846,1.5,4.5,,
1.1,0.08951,0.0078,1.5,4.5,,
1.2,0.08876,0.00722,1.5,4.5,,
1.3,0.08805,0.00673,1.5,4.5,,
1.4,0.0874,0.00633,1.5,4.5,,
1.5,0.0868,0.00596,1.5,4.5,,
1.6,0.08621,0.00563,1.5,4.5,,
1.7,0.08567,0.00534,1.5,4.5,,
1.8,0.08514,0.00508,1.5,4.5,,
1.9,0.08464,0.00484,1.5,4.5,,
2,0.08418,0.00464,1.5,4.5,,
2.1,0.08373,0.00445,1.5,4.5,,
2.2,0.08329,0.00428,1.5,4.5,,
2.3,0.08287,0.00412,1.5,4.5,,
2.4,0.08247,0.00397,1.5,4.5,,
2.5,0.08207,0.00382,1.5,4.5,,
2.6,0.08169,0.00369,1.5,4.5,,
2.7,0.08133,0.00357,1.5,4.5,,
2.8,0.08098,0.00345,1.5,4.5,,
2.9,0.08065,0.00336,1.5,4.5,,
3,0.08032,0.00326,1.5,4.5,,
3.1,0.08,0.00318,1.5,4.5,,
3.2,0.0797,0.00309,1.5,4.5,,
3.3,0.07939,0.00301,1.5,4.5,,
3.4,0.0791,0.00293,1.5,4.5,,
3.5,0.0788,0.00285,1.5,4.5,,
3.6,0.07852,0.00278,1.5,4.5,,
3.7,0.07824,0.00271,1.5,4.5,,
3.8,0.07797,0.00264,1.5,4.5,,
3.9,0.0777,0.00257,1.5,4.5,,
4,0.07746,0.00252,1.5,4.5,,
4.1,0.0772,0.00247,1.5,4.5,,
4.2,0.07696,0.00241,1.5,4.5,,
4.3,0.07672,0.00237,1.5,4.5,,
4.4,0.0765,0.00233,1.5,4.5,,
4.5,0.07627,0.00228,1.5,4.5,,
4.6,0.07605,0.00224,1.5,4.5,,
4.7,0.07583,0.00219,1.5,4.5,,
4.8,0.07562,0.00216,1.5,4.5,,
4.9,0.0754,0.00211,1.5,4.5,,
0.1,0,0,1.5,4,7,
0.2,0,0,1.5,4,,
0.3,0.05679,-0.83806,1.5,4,,
